"Date","EC2-Instances($)","Redshift($)","ElastiCache($)","Elastic Container Service for Kubernetes($)","EC2-Other($)","OpenSearch Service($)","Relational Database Service($)","DocumentDB (with MongoDB compatibility)($)","CloudWatch($)","Kinesis Analytics($)","GuardDuty($)","VPC($)","Elastic Load Balancing($)","Managed Service for Prometheus($)","SageMaker($)","CloudTrail($)","DMS($)","Q($)","Neptune($)","Route 53($)","Kinesis($)","Config($)","Systems Manager($)","QuickSight($)","Inspector($)","Network Firewall($)","DevOps Guru($)","Key Management Service($)","Managed Grafana($)","Security Hub($)","S3($)","WAF($)","Identity and Access Management Access Analyzer($)","Cost Explorer($)","DynamoDB($)","Secrets Manager($)","Elastic Container Service($)","EC2 Container Registry (ECR)($)","IoT SiteWise($)","Bedrock($)","CloudWatch Events($)","IoT Events($)","AppSync($)","Glue($)","X-Ray($)","Elastic MapReduce($)","Elastic File System($)","Location Service($)","Athena($)","Backup($)","IoT($)","API Gateway($)","Lambda($)","Glacier($)","SNS($)","SQS($)","Service Catalog($)","CloudFront($)","Cognito($)","CodeBuild($)","Migration Hub Refactor Spaces($)","Elastic Container Registry Public($)","CloudFormation($)","Total costs($)"
"2023-09-01","338.8761955078","614.7202885745","361.8","39.4253296098","66.6076226481","","609.4937843162","","19.3535214178","20.3899999992","12.0278882249","0.48","8.9609270859","0","","0","12.768","","","8.7334409331","4.032","1.12","0","","0","","","0.500864004","18","0.906","0.1505246603","","","0.062991","2.016","0.0400200032","","0.0064372416","","","0.000673","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2140.4725088526"
"2023-09-02","338.9107134566","616.8647582484","361.8","39.4250774776","65.753001543","","609.490967012","","25.5134437792","20.3899999992","12.0169228907","0.48","8.9616013492","0","","0","12.768","","","6.2334181331","4.032","1.54","0.00336","","0","","","0.500864004","","1.03","0.1596368049","","","0.0631186667","0","0.0400200032","","0.0064372416","","","0.000779","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2125.9841202356"
"2023-09-03","338.4116872072","614.9563330434","361.8","39.4257276756","65.9070802125","","609.5092841381","","26.292751058","20.3899999992","12.0629438801","0.48","8.9606875796","0","","0","12.768","","","6.2334057331","4.032","1.543","0","","0","","","0.500864004","","1.0723","0.1595317606","","","0.0616966667","0","0.0400200032","","0.0064372416","","","0.000758","","","0","","0.002186481","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2124.6166953101"
"2023-09-04","339.5467525849","616.8647476809","361.8","39.4256116424","69.796993591","","609.491671263","","25.5761999074","20.3899999992","12.1865002686","0.48","8.9608815823","0","","0","12.768","","","6.2333805331","4.032","1.792","0.003126","","0","","","0.500864004","","1.13417","0.1606754053","","","0.0632596667","0","0.0400200032","","0.0064372416","","","0.000787","","","0","","0.0010869575","0.0000002064","","","0.0000004198","","","","","0","0","0","","","","","","","2131.2551659573"
"2023-09-05","338.5923778283","616.8647583186","361.8","39.4258900205","70.7631815023","","609.4965874135","","25.5677917601","20.3899999992","12.044717934","0.48","8.9606786899","0","","0","12.768","","","6.2333929331","4.032","1.003","0.006486","","0","","","0.500864004","","0.96985","0.1612005552","","","0.063355","0","0.0400200032","","0.0064372416","","","0.000626","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2130.1712158297"
"2023-09-06","339.3055970176","616.8647691318","361.8","39.4251555155","71.4757602478","","609.5096837103","","25.6915505257","20.3899999992","12.1714530865","0.48","8.9605980404","0","","0","12.768","","","6.2334089331","4.032","1.189","0.000234","","0","","","0.500864004","","1.05074","0.163011789","","","0.061879","0","0.0400200032","","0.0064372416","","","0.000639","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2132.1208018719"
"2023-09-07","339.139399177","616.8647792037","361.8","39.4253731242","70.9741786805","","609.8599918369","","26.139674665","20.3899999992","12.0334777975","0.48","8.9610960879","0","","0","12.768","","","6.2334033331","4.032","0.931","0.007188","","0","","","0.500864004","","0.95843","0.1625945894","","","0.0634343333","0","0.0394644476","","0.0064372416","","","0.000634","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2131.7714211471"
"2023-09-08","339.1214001172","616.2829963489","361.8","39.4255380785","71.1536404612","","609.8888445184","","26.1652935794","20.3899999992","12.231562202","0.48","9.414596258","0","","0","12.768","","","6.2333945331","4.032","1.306","0","","0","","","0.500870004","","1.08662","0.1624433013","","","0.0636283333","0","0.0400200032","","0.0079351063","","","0.00069","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2132.5554734702"
"2023-09-09","337.0822787204","616.8648001137","361.8","39.425529685","70.6376442593","","609.8845999486","","26.5154154527","20.3899999992","12.101774011","0.48","11.3797027121","0","","0","12.768","","","6.2333825331","4.032","2.551","0.007344","","0","","","0.500864004","","1.32173","0.169413835","","","0.0637653333","0","0.0400200032","","0.0128744832","","","0.001124","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2134.26326372"
"2023-09-10","334.7629090945","615.784329129","361.8","39.4256558512","69.8555357313","","609.8737670336","","25.7805929651","20.3899999992","12.0760974961","0.48","11.3797953875","0","","0","12.768","","","6.2334137331","4.032","0.931","0.000702","","0","","","0.500864004","","0.96116","0.1700457538","","","0.062233","0","0.0400200032","","0.0128744832","","","0.000624","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2127.321620291"
"2023-09-11","335.9670090451","616.8648210489","361.8","39.4255102606","71.7816971152","","609.8796498228","","26.172506942","20.3899999992","12.0820587502","0.48","11.3798869522","0","","0","12.768","","","6.2334125331","4.032","1.849","0","","0","","","0.500864004","","1.21159","0.1729165978","","","0.063697","0","0.0394644476","","0.0128744832","","","0.00076","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2133.1077196281"
"2023-09-12","334.6197648281","616.8648315624","361.8","39.4255586473","71.0195925227","","609.8933753942","","26.1616294455","20.3899999992","12.093516221","0.48","11.3808535571","0","","7.2459","12.768","","","6.2333793331","4.032","0.937","0.003126","","0","","","0.528641782","","0.9894","0.1915011146","","","0.0640983333","0","0.0400200032","","0.0128744832","","","0.000619","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2137.1756828531"
"2023-09-13","340.2304931491","616.8648420519","361.8","39.4249657804","72.2220710958","","609.8800905757","","25.9066622874","20.3899999992","12.1538769369","0.48","11.3818385337","0","","8.5306","12.768","","","6.2319613581","4.032","2.374","0.003126","","0","","","0.5342003376","","1.32783","0.1957184187","","","0.0629563333","0","0.0394644476","","0.0128744832","","","0.000978","","","0","","","0.0000002064","","","0.0000004198","","","","0.0000000006","0","0","","","","","","","","2146.8485504154"
"2023-09-14","340.7500486279","616.8648524694","361.8","39.424570736","70.9715774045","","609.8767145041","","26.2562099547","20.3899999992","12.1853797909","0.48","11.3801726297","0","","8.4074","12.768","","","6.2315531606","4.032","0.991","0","","0","","","0.5341973376","","1.01827","0.1944912575","","","0.0652913333","0","0.0400200032","","0.0128744832","","","0.00062","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2144.675244318"
"2023-09-15","339.6216581329","615.2792378179","361.8","39.4256754368","71.257230514","","609.8777002545","","26.6661227176","20.3899999992","12.133905436","0.48","11.3798070814","0","","8.45286","12.768","","","6.2334213331","4.032","1.102","0","","0","","","0.5342393376","","1.04328","0.1943208604","","","0.0658433333","0","0.0400200032","","0.0128744832","","","0.000676","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2142.7908733673"
"2023-09-16","340.1517747864","616.864866351","361.8","39.4254773535","70.202242436","","609.8974886818","","25.9361448373","20.3899999992","12.0519792939","0.48","11.3797572104","0","","8.31314","12.768","","","6.2333857331","4.032","1.03","0","","0","","","0.5342003376","","1.05959","0.1937028923","","","0.1246206667","0","0.0400200032","","0.0128744832","","","0.000626","","","0","","","0.0000002064","","","0.0000004198","","","0.0000014096","","0","0","","","","","","","","2142.9218931014"
"2023-09-17","338.6248732418","615.634157685","361.8","39.4254412972","69.9854883495","","609.8836531748","","26.3981996024","20.3899999992","12.1907853109","0.48","11.3801328101","0","","8.22336","12.768","","","6.2333985331","4.032","0.922","0.003126","","0","","","0.5341973376","","1.0191","0.1977526861","","","0.0668436667","0","0.0400200032","","0.0128744832","","","0.000622","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","2140.246026807"
"2023-09-18","306.1414018579","616.864887711","361.8","32.7143850343","60.985990613","","55.2973945777","","23.0484355125","20.3899999992","11.7019818767","0.48","11.3802076445","0","","7.01018","12.768","","","6.2333761331","4.032","2.068","1.122468","","0","","","0.4379320035","","1.63237","0.1960897869","","","0.0669386667","0","0.0394644476","","0.0128744832","","","0.000886","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","1536.425264974"
"2023-09-19","304.8675845866","616.8649012605","361.8","32.2246975581","60.0922985196","","0.1041469098","","22.4452868954","20.3899999992","11.6947204506","0.48","11.3801012964","0","","6.61712","12.768","","","6.2333853331","4.032","0.892","9.888","","0","","","0.4336213368","","0.8391","0.1952588182","","","0.0651563333","0","0.0394644476","","0.0128744832","","","0.000618","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","1484.3603368546"
"2023-09-20","304.9855868385","616.8649136796","361.8","32.226255448","60.4842463706","","0.0670036869","","22.8238183448","20.3899999992","11.6424112613","0.48","11.3800561271","0.0073730376","","6.64284","12.768","","","6.2333897331","4.032","0.736","9.89175","","0","","","0.4336213368","","0.81691","0.1970446476","","","0.0663913333","0","0.0400200032","","0.0128744832","","","0.000574","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","1485.023080957"
"2023-09-21","309.6614207411","616.8649248474","361.8","33.1311965771","61.0174589837","","0.0664510166","","22.8396675305","20.3899999992","9.4336608431","0.48","11.3797532066","0.0153686496","","6.35186","12.768","","","6.2333993331","4.032","2.476","10.083126","","0","","","0.4336213368","","1.17847","0.1980995677","","","0.065829","0","0.0400200032","","0.0128744832","","","0.000853","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","1490.9540557451"
"2023-09-22","317.2257123504","615.2770867666","361.8","34.6250038089","62.7129975744","","0.0660379475","","22.4439483382","20.3899999992","6.9842723486","0.48","11.3797018836","0.0153686496","","5.55824","12.768","","","6.2333861331","4.032","0.941","10.46736","","0","","","0.4336213368","","0.81866","0.1959730516","","","0.0656526667","0","0.0400200032","","0.0128744832","","","0.000637","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","1494.9675549678"
"2023-09-23","317.2257077167","616.8649140672","361.8","34.6253235817","62.7135363574","","0.0656075968","","22.8252892234","20.3899999992","6.9937277094","0.48","11.3817500741","0.0153686496","","5.5444","12.768","","","6.2333845331","4.032","0.765","10.465126","","0","","","0.4336213368","","0.76899","0.1938337838","","","0.065626","0","0.0400200032","","0.0128744832","","","0.000567","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","1496.7046687418"
"2023-09-24","317.1997110655","615.7908412236","361.8","34.6255594378","62.6882739623","","0.0651789021","","22.4505739207","20.3899999992","9.2889129256","0.48","11.3842821776","0.0153686496","","5.54704","12.768","","","6.2333961331","4.032","0.801","10.470486","","0","","","0.4336213368","","0.80844","0.1935413246","","","0.065432","0","0.0400200032","","0.0128744832","","","0.00059","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","1497.5851441711"
"2023-09-25","317.1077086607","616.8648549744","361.8","34.6249663347","62.9075087813","","0.0647240282","","22.8287179257","20.3899999992","14.0671640646","0.48","11.3847199283","0.0153686496","","5.54856","12.768","","","6.2333917331","4.032","1.092","10.467594","","0","","","0.4336213368","","0.88258","0.197530893","","","0.0652703333","0","0.0400200032","","0.0128744832","","","0.000572","","","0","","","0.0000002064","","","0.0000004198","","","","","0","0","","","","","","","","1504.3097487555"
